courseNumber,name,departmentCode,description,credits,professorName
ACCT 450,Accounting Ethics,ACCT,"3 Lecture Hours. Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; exploring ways to integrate ethical behavior into professional life. Prerequisites: ACCT 427 ; junior or senior classification.",3,
ACCT 484,Accounting Internship,ACCT,Credits 0 to 3. 0 to 3 Other Hours. A directed internship in an organization to provide on-the-job training under the supervision of accounting professionals in organizational settings appropriate to the student's professional objectives. May be taken for credit up to three hours. Must be taken on a satisfactory/unsatisfactory basis. Prerequisites: Accounting major or approval of department head.,0,
ACCT 485,Directed Studies,ACCT,Credits 1 to 3. 1 to 3 Other Hours. Directed study of selected problems in the area of accounting not covered in other courses. Prerequisites: Accounting major and approval of department head.,1,
ACCT 489,Special Topics in...,ACCT,Credits 1 to 4. 1 to 4 Lecture Hours. Selected topics in an identified area of accounting. May be repeated for credit. Prerequisites: Admission to upper division in Mays Business School and approval of instructor.,1,
ACCT 491,Research,ACCT,Credits 1 to 4. 1 to 4 Lecture Hours. Research conducted under the direction of an accounting faculty member in Mays Business School or a faculty member in the Office of Undergraduate Research. May be repeated one time for credit. Prerequisites: Junior or senior classification and approval of instructor.,1,
AERO 201,Introduction to Flight,AERO,"3 Lecture Hours. 1 Lab Hour. Standard atmosphere, basic aerodynamic theory, airfoil and wing descriptions, introduction to orbital mechanics, elementary aerospace vehicle performance, and experiential introduction to aerospace engineering. Prerequisite: Grade of C or better in ENGR 102 and PHYS 206 ; grade of C or better in ENGR 216/PHYS 216 or PHYS 216/ENGR 216 ; grade of C or better in MATH 251 or MATH 253 or concurrent enrollment; Aerospace Engineering majors only.",3,
AERO 211,Aerospace Engineering Mechanics,AERO,"3 Lecture Hours. Fundamentals of Newtonian mechanics; static equilibrium of particles, system of particles and rigid bodies; free body diagrams; rectilinear and curvilinear motion of particles; linear momentum; angular momentum; friction; plane motion of rigid bodies; beams and trusses. Prerequisites: Grade of C or better in ENGR 102 and PHYS 206 ; grade of C or better in ENGR 216/PHYS 216 or PHYS 216/ENGR 216 ; grade of C or better in MATH 251 or MATH 253 , or concurrent enrollment; Aerospace E",3,
AERO 212,Introduction to Aerothermodynamics,AERO,"3 Lecture Hours. 1 Lab Hour. Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, ideal cycles for power and refrigeration applications; emphasis on the Brayton jet-engine cycle. Prerequisite: Grade of C or better in CHEM 107 and CHEM 117 , or CHEM 120 ; grade of C or better in MATH 251 or MATH 253 , or concurrent enrollment; AERO majors.",3,
AERO 214,Introduction to Aerospace Mechanics of Materials,AERO,"2 Lecture Hours. 2 Lab Hours. Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties. Prerequisites: Grade of C or better in AERO 211 ; grade of C or better in MATH 308 , or concurrent enrollment.",3,
AERO 221,Analytical Methods for Aerospace Engineering,AERO,"3 Lecture Hours. 1 Lab Hour. Matrix operations, Gaussian elimination, linear transformations, coordinate transformations, eigenvalues, eigenvectors, diagonalization, including programming and computer implementation, applied to solid mechanics, fluid mechanics, dynamics and control of air and space vehicles. Prerequisites: Grade of C or better in ENGR 102 , MATH 152 , PHYS 206 , and ENGR 216/PHYS 216 or PHYS 216/ENGR 216 .",3,
AERO 222,Introduction to Aerospace Computation,AERO,"2 Lecture Hours. 2 Lab Hours. Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving interpolation and extrapolation; function approximation; numerical differentiation; integration; solutions to linear and non-linear equations and systems of equations; eigenvalues and eigenvectors, numerical integration of",3,
AERO 285,Directed Studies,AERO,"Credits 0 to 4. 0 Lecture Hours. 0 Lab Hours. 0 to 4 Other Hours. Directed study of special problems in aerospace engineering. Prerequisites: Freshman or sophomore classification, or approval of instructor. May be repeated for credit.",0,
AERO 289,Special Topics in...,AERO,Credits 1 to 4. 1 to 4 Lecture Hours. 0 to 4 Lab Hours. Selected topics in an identified area of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.,1,
AERO 291,Research,AERO,Credits 0 to 4. 0 to 4 Other Hours. Research conducted under the direction of faculty member in aerospace engineering. May be taken three times. Prerequisites: Freshman or sophomore classification and approval of instructor.,0,
AERO 299,Mid-Curriculum Professional Development,AERO,0 Other Hours. Participation in an approved high-impact learning practice; reflection on professional outcomes from engineering body of knowledge; documentation and self-assessment of learning experience at mid-curriculum point.,0,
AERO 301,Theoretical Aerodynamics,AERO,"3 Lecture Hours. Conservation of mass and momentum; Reynolds transport theorem; fundamentals of incompressible flow, rotationality, potential flow, superposition, circulation, lift, thin airfoil theory, elliptic wing theory and induced drag. Prerequisite: Grade of C or better in AERO 201 , AERO 212 ; grade of C or better in AERO 222 and MATH 308 , or concurrent enrollment.",3,
AERO 303,High Speed Aerodynamics,AERO,"3 Lecture Hours. Fundamentals of compressible flow; governing Euler equations; adiabatic and isentropic flow; normal and oblique shocks and expansion waves, moving shocks, shock interactions, wedge and cone flow; supersonic airfoils, exact and thin theory, choked flow and wind-tunnel design, two-dimensional gas dynamics, and method of characteristics. Prerequisite: Grade of C or better in AERO 301 .",3,
AERO 304,Aerospace Structural Analysis I,AERO,"3 Lecture Hours. Three-dimensional beam theory; applications of elasticity theory to beam extension and compression, bending, torsion and transverse shearing; combined loading; analysis of thin-walled structures; stress concentrations; analysis of stability of aerospace structures; elements of structural failure, buckling; structural design considerations. Prerequisite: Grade of C or better in AERO 214 and MATH 308 ; grade of C or better in AERO 222 or concurrent enrollment.",3,
AERO 306,Aerospace Structural Analysis II,AERO,"3 Lecture Hours. Work and energy principles; analysis of indeterminate structures by classical virtual work and finite elements; introduction to elastic stability of columns; application of energy methods to determine stresses, strains and displacements in typical aerospace structures; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 304 .",3,
AERO 307,Aerospace Engineering Laboratory,AERO,"2 Lecture Hours. 3 Lab Hours. Intermediate and advanced topics in instrumentation, signal conditioning, data acquisition analysis for aerospace-related measurements; emphasis on technical reporting and data presentation; measurements of materials strain, deformation, pressure, velocity and aerodynamic forces; experimental investigations of static and dynamic response of structures; use of nonintrusive optical techniques; uncertainty analysis; linear regression, Fourier transform and power spectr",3,
AERO 310,Aerospace Dynamics,AERO,3 Lecture Hours. Spatial kinematics; general motion of particles; Euler angles; Newton-Euler methods for translation and rotation of rigid bodies; work-energy and impulse momentum principles applied to aerospace systems; Linear theory of free dynamic response of single and multi-degree of freedom systems; frequency response of first and second order systems with instrumentation applications. Prerequisite: Grade of C or better in AERO 211 and MATH 308 ; grade of C or better in AERO 222 or concurr,3,
AERO 321,Dynamics of Aerospace Vehicles,AERO,"3 Lecture Hours. Derivation of the nonlinear air and space vehicle dynamics equations; attitude representation with Euler angles and quaternions; forces and moments due to aerodynamics, thrust and gravity gradient; linearization; development of state-space models for aircraft and spacecraft; static and dynamic stability analysis for aircraft and satellites; spin and gravity gradient stabilization; stability derivatives; longitudinal and lateral modes and transfer functions for aircraft; aircraft",3,
AERO 351,Aerothermodynamics and Propulsion,AERO,"3 Lecture Hours. Aerothermodynamics of gases; laws of thermodynamics; equilibrium conditions; mixtures of gases; combustion and thermochemistry; compressible internal flows with friction, heat transfer and shock; turbojet cycle analysis and performance; chemical rockets. Prerequisite: Grade of C or better in AERO 303 .",3,
AERO 401,Aerospace Design Principles,AERO,"2 Lecture Hours. 3 Lab Hours. Study of systems engineering; project lifecycle; stakeholder, concept of operations (CONOPS) &amp; requirements definition; cost assessment; risk management; trade studies; decomposition and design of an aerospace system; engineering ethics; technical communications. Prerequisite: Grade of C or better in AERO 306 , AERO 307 , AERO 321 , and AERO 351 , or concurrent enrollment.",3,
AERO 402,Aerospace Systems Design,AERO,"6 Lab Hours. Continuation of AERO 401 ; detailed design; subsystem integration; realization of the system through prototyping, modeling, and/or simulation; verification and validation through experimentation and analysis; documentation and presentation of results. Prerequisite: Grade of C or better in AERO 306 , AERO 307 , AERO 321 , AERO 351 , and AERO 401 .",2,
AERO 404,Mechanics of Advanced Aerospace Structures,AERO,"3 Lecture Hours. Advanced analysis techniques for aerospace structures; material anisotropy, plasticity, fatigue and fracture; laminated materials; solution of plane elasticity, plate and multi-component structural configurations; buckling of beams and plates; application of finite element analysis. Prerequisites: Grade of C or better in AERO 304 and junior or senior classification.",3,
AERO 405,Aerospace Structural Design,AERO,3 Lecture Hours. Overall structural integrity of complete aerospace systems; structures subjected to critical loads; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 306 .,3,
AERO 411,Applications of Fracture Mechanics to Aerospace Structures,AERO,3 Lecture Hours. Foundations of linear elastic fracture mechanics of aerospace structure; calculation of stress intensity factors and energy release rates; crack growth under fatigue loading; ASTM standards for fracture testing; the role of fracture mechanics in the analysis and design of aerospace structures. Prerequisite: AERO 304 or equivalent with a grade of C or better.,3,
AERO 413,Aerospace Materials Science,AERO,3 Lecture Hours. Relationship between aerospace engineering material properties and microstructure; mechanical and thermal properties; environmental degradation; mechanical failure. Prerequisite: Grade of C or better in AERO 304 .,3,
AERO 414,Human Performance in Aerospace Environments,AERO,3 Lecture Hours. Current physiological and psychological aspects affecting human performance during space missions using a quantitative approach and engineering methods. Prerequisite: Grade of C or better in AERO 321 .,3,
AERO 415,Computational Fluid Dynamics for Aerospace Applications,AERO,"3 Lecture Hours. Present methods for solving internal and external flow problems for inviscid and viscous compressible flow; Euler, Navier-Stokes and Large Eddy Simulation solvers, boundary conditions formulation, and basics of parallel processing. Prerequisite: Grade of C or better in AERO 303 and AERO 351 .",3,
AERO 417,Aerospace Propulsion,AERO,"3 Lecture Hours. Air breathing propulsion; design and analysis of inlets, compressors, combustors, turbines and nozzles; application to aeronautical and ground transportation. Prerequisite: Grade of C or better in AERO 351 .",3,
AERO 419,Chemical Rocket Propulsion,AERO,"3 Lecture Hours. Nozzles and heat transfer in rockets, liquid and solid propellant systems; combustion and combustion stability; flight performance including trajectories, multistaging and exchange rate curves; rocket testing. Prerequisite: Grade of C or better in AERO 351 .",3,
AERO 420,Aeroelasticity,AERO,"3 Lecture Hours. Classical analysis of fundamental aeroelastic phenomena with application to aerospace vehicles; flutter, divergence, control effectiveness. Prerequisites: Grade of C or better in AERO 303 , AERO 306 , and AERO 310 .",3,
AERO 422,Active Controls for Aerospace Vehicles,AERO,"3 Lecture Hours. Introduction to the Theory of Automatic Control specifically applied to aerospace vehicles; techniques for analysis and synthesis of linear control systems, stability criteria, systems response and performance criteria; design studies of active controls to improve aerospace vehicle performance. Prerequisite: Grade of C or better in AERO 321 .",3,
AERO 423,Orbital Mechanics,AERO,"3 Lecture Hours. Two-body problem, restricted three-body problem, orbital perturbations, orbital maneuvers, interplanetary trajectories, orbit determination and other selected topics. Prerequisite: Grade of C or better in AERO 310 .",3,
AERO 424,Spacecraft Attitude Dynamics and Control,AERO,"3 Lecture Hours. Introduces fundamental concepts of satellite attitude dynamics and control; includes derivations of environmental disturbances due to gravity gradient, aerodynamic, and solar radiation pressure; includes treatments of attitude control subsystems, such as thrusters, reaction wheels, CMGs, and magnetic torquers, and their designs. Prerequisites: Grade of C or better in AERO 321 .",3,
AERO 425,Flight Test Engineering,AERO,"2 Lecture Hours. 3 Lab Hours. Application of performance and stability and control theory to flight test measurements; standard atmosphere and airspeed equations for pilot-static system calibrations; flight test methods for evaluating performance, stability and control, and stall-spin characteristics; laboratory practice in planning and conducting small flight test project. Prerequisite: Grade of C or better in AERO 321 .",3,
AERO 426,Space System Design,AERO,"3 Lecture Hours. Introduces prevailing practices and processes used in modern space system design; applies knowledge in component engineering disciplines to a design challenge of interest to NASA or DoD; utilizes instruction in systematic methods of design and on dynamics of teamwork; when possible concludes with detailed design using an engineering design facility. Prerequisites: Grade of C or better in AERO 306 , AERO 321 , AERO 351 .",3,
AERO 428,Electromagnetic Sensing for Space-Borne Imaging,AERO,"3 Lecture Hours. Study IR and Visible range imaging systems to obtain high resolution imaging of objects from space; this area has numerous applications and areas of advanced development; following instruction in needed background on optics, telescopes, and interferometry, perform preliminary design of imaging system with a different imaging design offered each year. Prerequisites: Grade of C or better in AERO 306 , AERO 321 , AERO 351 .",3,
AERO 430,Numerical Simulation,AERO,"3 Lecture Hours. Numerical and analytical simulation of physical problems in sciences and engineering using applied methods; developing and using numerical techniques for physical problems described by nonlinear algebraic equations, ordinary and partial differential equations. Prerequisite: Grade of C or better in AERO 222 or MATH 417 .",3,
AERO 435,Aerothermochemistry,AERO,"3 Lecture Hours. Composition of chemically reacting gases (air and propellant); thermodynamic functions based on classical and quantum mechanical theories; calculation of gas temperatures; equilibrium, frozen and non-equilibrium flows through nozzles and shock waves. Prerequisite: Grade of C or better in AERO 303 .",3,
AERO 436,Human Factors Engineering for Aerospace Designs,AERO,3 Lecture Hours. Physiological and psychophysiological issues encountered in aviation and space environments and their effect on human cognitive and physical performance; survey methods for human workload and performance evaluations; apply human-systems design principles to an aerospace design project. Prerequisites: Junior or senior classification. Cross Listing: ISEN 432/AERO 436 .,3,
AERO 438,Intuitive and Counter-Intuitive Mechanisms,AERO,"2 Lecture Hours. 2 Lab Hours. Spatial descriptions and transformations; forward and inverse kinematics of mechanical manipulators; manipulation; dexterity and manipulability; principles of manipulator-mechanism design; mobility; motion planning; control, reachability and complexity measures; workspace analysis. Prerequisites: Senior classification. Cross Listing: MEEN 407/AERO 438 .",3,
AERO 440,Cockpit Systems and Displays,AERO,"3 Lecture Hours. Design, development, and implementation of cockpit systems and multi-function displays; cockpit system requirements and specifications; human-machine interfaces, Flight Management Systems, navigation and guidance systems; 3-D real-time displays of weather, traffic, and terrain; characteristics and missions of air vehicles; project design and cost analysis. Prerequisite: Grade of C or better in AERO 321 or junior or senior classification in computer science.",3,
AERO 445,Vehicle Management Systems,AERO,"3 Lecture Hours. Introduction to vehicle management systems for manned and unmanned air and space vehicles; system centric concepts, requirements definition, specifications, and architectures; reliability analysis, health monitoring, and mission management; SISO digital design of integrated flight control, propulsion control and structural control; introduction to vehicle autonomy; design and analysis methods, industrial examples. Prerequisite: Grade of C or better in AERO 422 .",3,
AERO 451,Human Spaceflight Operations,AERO,"3 Lecture Hours. Essential aspects of human spaceflight operations as performed by NASA; in-depth understanding of the state-of-the-art in spacecraft operations, including spacecraft systems, ground and launch operations, mission management and on-orbit activities such as science, robotics, spacewalking and human health maintenance; applications to future space systems. Prerequisite: Grade of C or better in AERO 310 or equivalent; senior classification.",3,
AERO 452,Heat Transfer and Viscous Flows,AERO,3 Lecture Hours. Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; basic concepts of transition and turbulence; turbulent boundary layers; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; radiation. Prerequisite: Grade of C or better in AERO 303 and AERO 351 .,3,
AERO 455,Helicopter Aerodynamics,AERO,"3 Lecture Hours. Hovering theory, hovering and vertical flight performance, factors affecting hovering and vertical flight performance, auto-rotation in vertical descent, concepts of blade motion and control, aerodynamics of forward flight, forward flight performance, operational envelope and introduction to conceptual design of helicopters. Prerequisites: Grade of C or better in AERO 222 , AERO 301 , and AERO 310 .",3,
AERO 472,Airfoil and Wing Design,AERO,"3 Lecture Hours. Subsonic airfoil design and analysis, subsonic wing design and analysis, swept and delta wings, vortex lift, transonic flow methods, viscous transonic phenomena, transonic airfoil and wing design, optimization and advanced topics such as supersonic panel methods. Prerequisite: Grade of C or better in AERO 303 .",3,
AERO 478,"Low Temperature Plasma - Theory, Modeling, Applications",AERO,"3 Lecture Hours. Basic theory and fundamentals of low-temperature plasma, elements of plasma kinetic theory, equilibrium and non-equilibrium plasma, modeling approaches, plasma discharges. Prerequisites: Grade of C or better in AERO 303 and MATH 308 .",3,
AERO 481,Seminar,AERO,"1 Lecture Hour. Readings, reports, conferences and discussion. Must be taken on a satisfactory/unsatisfactory basis. Prerequisite: Senior classification in aerospace engineering.",1,
AERO 485,Directed Studies,AERO,Credits 0 to 4. 0 to 4 Other Hours. Special problems in aerospace engineering assigned to individual students or groups. Prerequisite: Junior or senior classification or approval of instructor.,0,
AERO 489,Special Topics in...,AERO,Credits 1 to 4. 1 to 4 Lecture Hours. 0 to 4 Lab Hours. Selected topics in an identified field of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.,1,
AERO 491,Research,AERO,Credits 0 to 4. 0 to 4 Other Hours. Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit. Prerequisites: Junior or senior classification and approval of instructor.,0,
AGEC 101,Concepts in Agricultural Economics - First Year Experience,AGEC,"Credits 0-1. 0-1 Lecture Hours. 0 Lab Hours. 0 Other Hours. Discussion-based designed to connect first-year AGEC and AGBL students with peers, faculty and staff while providing an overview of the experiential learning and high impact opportunities available in these majors; highlights key issues at Texas A&amp;M University, in agriculture, and in the field of Agricultural Economics.",0,
AGEC 105,Introduction to Agricultural Economics,AGEC,3 Lecture Hours. (AGRI 2317) Introduction to Agricultural Economics. Characteristics of our economic system and basic economic concepts; survey of the farm and ranch firm and its organization and management; structure and operation of the marketing system; functional and institutional aspects of agricultural finance; government farm programs.,3,
AGEC 117,Critical Thinking and Decision Making in Agricultural Economics,AGEC,"1 Other Hour. An introductory seminar in the Department of Agricultural Economics; emphasis on resources and opportunities available in the department; awareness and understanding of professional development; emphasis on writing as a critical communication skill. Prerequisite: AGEC 105 , ECON 203 , or grade of C or better in ECON 202 ; ENGL 103 or ENGL 104 ; Agricultural Economics and Agribusiness majors.",1,
AGEC 216,Fundamentals of the AgriFood Sales Industry,AGEC,"1 Lecture Hour. Fundamentals of professional business to business sales in AgriFood firms; opportunities to interact with successful salespeople in AgriFood firms; focus on career development, exploration of undergraduate internships in professional sales and identification of basic sales theories currently in use in AgriFood firms; learning to network extensively with AgriFood industry professionals and developing a mentor relationship.",1,
AGEC 217,Fundamentals of Agricultural Economics Analysis,AGEC,"2 Lecture Hours. 2 Lab Hours. Relates contemporary agribusiness issues to economic and financial management, illustrating their integration toward pragmatic applications in the agricultural industry; lab focuses on the integration of mathematics and economics with computer skills directed toward spreadsheets, databases, web pages, and communications software. Prerequisites: Grade of C or better in AGEC 105 ; grade of C or better in AGEC 117 or concurrent enrollment; grade of C or better in MATH ",3,
AGEC 223,Establishing Agribusiness Entrepreneurship Networks I,AGEC,"1 Lecture Hour. Introduction to successful entrepreneurs and other professionals, identifying suggested strategies and tactics in starting and sustaining viable rural and metropolitan business ventures; emphasis on importance of and how to develop relationships with a broad spectrum of mentors. Prerequisite: Freshman or sophomore classification.",1,
AGEC 285,Directed Studies,AGEC,"Credits 0 to 4. 0 to 4 Other Hours. Directed study of selected problems in agricultural economics. Prerequisite: AGEC 105 or concurrent enrollment; freshman or sophomore classification in agricultural economics, agribusiness, or approval of instructor and department head; 2.5 GPR in major, overall, and CBK courses, if applicable; see an academic advisor in Room 214 AGLS.",0,
AGEC 289,Special Topics in...,AGEC,Credits 1 to 4. 1 to 4 Lecture Hours. Selected topics in an identified area of agricultural economics. May be repeated for credit. Prerequisites: Freshman or sophomore classification and approval of department head.,1,
AGEC 291,Research,AGEC,Credits 0 to 4. 0 to 4 Other Hours. Research conducted under the direction of faculty member in agricultural economics. May be repeated 3 times for credit. Prerequisites: Freshman or sophomore classification and approval of department head; see an academic advisor in Room 214 AGLS.,0,
AGEC 314,Marketing Agricultural and Food Products,AGEC,"3 Lecture Hours. Operations involved in movement of agricultural commodities from farmer to consumer via several intermediaries; functions involve buying, selling, transportation, storage, financing, grading, pricing and risk bearing; agricultural supply chain or value chain is studied in detail; marketing aspects of commodities and differentiated goods. Prerequisites: AGEC 105 or 3 hours of economics; and junior or senior classification.",3,
AGEC 315,Food and Agricultural Sales,AGEC,3 Lecture Hours. Principles of professional sales techniques used in food and agricultural firms; develop a professional sales presentation; study current agribusiness industry professional salespersons. Prerequisite: Junior or senior classification.,3,
AGEC 316,Building Customer Relationships in AgriFood Selling,AGEC,"3 Lecture Hours. Use of emotional intelligence factors in developing business-to-business customer relationships for AgriFood, real estate, finance and other industrial products and services; developing customer relationships with regard to the unique aspects of technical products and services in these industries. Prerequisite: Grade of C or better in AGEC 315 ; junior or senior classification; approval of instructor.",3,
AGEC 317,Economic Analysis for Agribusiness Management,AGEC,"3 Lecture Hours. Quantitative methods used to address managerial problems, specifically calculus-based optimization, marginal analysis, elasticities, statistical and forecasting techniques, linear programming, and risk analysis; emphasis on theoretical aspects and applied analysis of managerial problems faced by agricultural firms. Prerequisites: AGEC 217 ; ECON 323 ; BUSN 203 for agribusiness majors or STAT 301 , 302, or 303 for agricultural economics majors; junior or senior classification; ag",3,
AGEC 324,Agribusiness Entrepreneurship – Budgeting,AGEC,"2 Lecture Hours. 2 Lab Hours. Case study approach to demonstrate a process for evaluating the economic feasibility of a single-enterprise rural or metropolitan business venture; relevant production, marketing and financing costs, in combination with capital ownership and overhead costs; computer spreadsheets including attention to deterministic sensitivity analyses; computer capabilities are essential. Prerequisites: Grade of C or better in AGEC 105 or ECON 202 ; grade of C or better in ACCT 209",3,
AGEC 325,Principles of Farm and Ranch Management,AGEC,3 Lecture Hours. 0 Lab Hours. Agribusiness managerial decision making and analysis in different market environments; emphasis is on profit maximization; focuses on using computerized methods for evaluating management alternatives for farming and ranching problem situations. Prerequisites: AGEC 105 or ECON 202 ; junior or senior classification; knowledge of Excel.,3,
AGEC 330,Financial Management in Agriculture,AGEC,"3 Lecture Hours. Principles of financial management of farms, ranches, and other agribusiness firms; financial statements, financial statement analysis, time value of money, investment analysis, firm growth, risk management, credit analysis and best business management practices. Prerequisites: AGEC 105 or 3 hours of economics; ACCT 209 or ACCT 229 ; and junior or senior classification.",3,
AGEC 340,Agribusiness Management,AGEC,"3 Lecture Hours. Survey of management practices using case studies to evaluate management issues in agribusiness firms in the context of the four functions of management such as planning, organizing, leading and controlling; emphasis on best practices throughout the food marketing chain; examination of how businesses and business executives succeed; application of previously learned knowledge in making business decisions similar to those encountered in professional careers. Prerequisites: AGEC 1",3,
AGEC 344,Food and Agricultural Law,AGEC,"3 Lecture Hours. Legal principles relevant to the farm family and business; characteristics of legal decisions and rules on property rights, and fencing laws; analysis of global, national, state, and local legal issues in contracts, torts, water, pollution, and natural resources. Prerequisite: Junior or senior classification.",3,
AGEC 350,Environmental and Natural Resource Economics,AGEC,"3 Lecture Hours. Inspection of issues such as environmental degradation, population growth, recycling, water use and depletion, natural habitat protection, water and air pollution, acid deposition, fishery management, and global warming using economically derived principles and tools. Prerequisite: Junior or senior classification.",3,
